tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
1679171760590143488,"➡️ El exministro @Diego_Molano y hoy candidato a la Alcaldía de #Bogotá, presentó su libro el pasado lunes en la capital ⬇️

https://t.co/9pm7WB6exO",es,Retweet,0,15,12,1,371,2023-07-12 11:51:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#Bogotá,https://revistalternativa.com/utimas-noticias/bajo-amenaza-la-cara-oculta-del-estallido-social-que-golpeo-a-colombia/,,
1661765236192362497,"#Política🏛 | Conozca las razones por las que el precandidato a la alcaldía de #Bogotá Diego Molano (@Diego_Molano) inició acciones legales contra María José Pizarro (@PizarroMariaJo).
 https://t.co/XLTyGx9GcS",es,Retweet,3,83,37,18,7844,2023-05-25 11:04:41,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#Política,#Bogotá",https://www.kienyke.com/politica/diego-molano-denuncio-maria-jose-pizarro-ante-la-corte-suprema-de-justicia,,
1697648583799976000,"#Bogotá Miguel Uribe busca coalición contra Gustavo Bolívar: convocó a Juan Daniel Oviedo, Rodrigo Lara, Diego Molano y el general en retiro Jorge Luis Vargas #Elecciones2023  https://t.co/TNdDx8Pv0r",es,Retweet,0,8,5,6,3587,2023-09-01 11:32:17,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#Bogotá,#Elecciones2023",https://www.publimetro.co/bogota/2023/09/01/por-el-uribismo-miguel-uribe-llamo-a-4-candidatos-para-derrotar-a-gustavo-bolivar-en-la-alcaldia/,,
1660359946016268288,"📢 ¡Atención!🌆🗳️

🗓️No te pierdas el debate de precandidatos a la alcaldía de Bogotá en  @Uniandes. Escucha sus propuestas y participa en la construcción del futuro de #Bogotá. Con @heidy_up, @CarlosCarrilloA, @Rodrigo_Lara_, @Diego_Molano y @maferojas 👇 https://t.co/HNTL0zvMPU https://t.co/SPirH6rKug",es,Retweet,0,8,2,0,872,2023-05-21 14:00:33,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",#Bogotá,https://cisocial.es/3obIEpd,photo,https://pbs.twimg.com/media/FwrIkpYWYAA-gJP.jpg
1665840357920108545,"Junto a @bogotacomovamos y @GOYNBogota, comenzamos con @Diego_Molano los encuentros con candidatos a la alcaldía de #Bogotá para compartirles información técnica sobre situación de la #Niñez en la capital y que contemplen acciones en sus propuestas. 

#NiñezEnPDTs #Elecciones2023 https://t.co/mfzqf3rWpK",es,Retweet,0,11,5,0,632,2023-06-05 16:57:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#Bogotá,#Niñez,#NiñezEnPDTs,#Elecciones2023",,photo,"https://pbs.twimg.com/media/Fx5AEGUWIAMpiMZ.jpg,https://pbs.twimg.com/media/Fx5AEGVXgAYaksY.jpg,https://pbs.twimg.com/media/Fx5AEGVXsAEIFxX.jpg,https://pbs.twimg.com/media/Fx5AEGVWYAIFQ3J.jpg"
1625306752878014466,"#FuerzaGuerrera Estamos en este momento con el ex ministro de Defensa Diego Molano, aprovechemos la oportunidad para hacer las preguntas que consideres y las recomendaciones para bogota. #Bogotá #Elecciones2023 #AlcaldiaMayor  https://t.co/pKXYYa2O4h",es,Retweet,0,8,8,0,212,2023-02-13 20:31:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#FuerzaGuerrera,#Bogotá,#Elecciones2023,#AlcaldiaMayor",https://twitter.com/i/spaces/1BRJjZVeBAvJw,,
1657158759058120705,"¡Es el momento de Usaquen!
Gracias Presidente @AlvaroUribeVel, por confiar y apoyar a los jóvenes.

Nuestra localidad y ciudad es de todos @MiguelUribeT @Diego_Molano
@ABarriosBernal

Munir Cárdenas Edil Usaquen #8⃣

#noalaimprovisacion  #Bogota  #jovenes #movilidad #Origami https://t.co/LqLraFo7Ei",es,Retweet,0,15,5,1,707,2023-05-12 18:00:11,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#8⃣,#noalaimprovisacion,#Bogota,#jovenes,#movilidad,#Origami",,video,https://pbs.twimg.com/ext_tw_video_thumb/1657158708533526528/pu/img/8W8L22MtetXaFzi_.jpg
1696891875515322874,"🚨#EnDirecto #Elecciones2023
No es solo un #debate, es un encuentro de ideas y propuestas por #Bogotá
@CarlosFGalan @Rodrigo_Lara_ @Diego_Molano @JDOviedoA y @JERobledo nos darán un vistazo de sus planes para la ciudad

¡Tomemos decisiones informadas!🗳️  
https://t.co/BTvbJ6D75l https://t.co/uBv4EZujXV",es,Retweet,0,14,4,1,1374,2023-08-30 09:25:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#EnDirecto,#Elecciones2023,#debate,#Bogotá",https://www.youtube.com/live/ELSVjEPkj1E?si=VJI36DoKMEjTcNBV,photo,https://pbs.twimg.com/media/F4yJXmzW0AECDgV.jpg
1713300834438529499,"Miren como el  vandalismo quiere silenciar a @Diego_Molano Futuro alcalde de #Bogota
✋ Mano firme y un ❤️ grande
#CD53
#ElValleSosVos",es,Retweet,0,9,7,0,297,2023-10-14 16:08:45,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#Bogota,#CD53,#ElValleSosVos",,,
1640024533900959748,"@PadreHuerfano1 Total SI...
@Diego_Molano Diego Molano Aponte sería lo mejor que le podría suceder a Bogotá,  bien por él y su candidatura y #Bogotá.",es,Retweet,0,7,6,0,153,2023-03-26 11:14:53,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",#Bogotá,,,
